Заголовок,Ссылка,Время публикации,Описание
Структура Россельхозбанка стала владельцем половины Avito Что известно о сделке с одной из крупнейших компаний Рунета,https://www.rbc.ru/business/24/04/2025/680920149a794727a019629e?from=column_1,"24 апр, 17:20","Иван Таврин, основатель Kismet Capital Group — владельца сервиса объявлений, объявил о сделке на встрече с сотрудниками Avito в четверг, 24 апреля, сообщили источники РБК, знакомые с ее деталями. «С учетом того что Таврин глубоко погружен в процессы в компании, в последние дни он неоднократно встречался с разными командами в Avito и рассказывал о своей мотивации в сделке, — рассказывает один из собеседников. — С его слов, последние два с половиной года с момента покупки он ощущает свою близость с компанией и управленческой командой, поэтому он чувствует всю полноту ответственности за то, чтобы с приходом второго акционера не изменился дух и культура компании, и намерен быть с Avito всю свою жизнь». Собеседник РБК, близкий к одной из сторон сделки, уточнил — «структура под управлением Россельхозбанка» стала владельцем 50% бизнеса Avito. По его словам, «сделка была коммерческой, хотя в нее и были включены элементы кредитных средств, которые Kismet использовала при покупке компании в 2022 году». Три года назад Россельхозбанквыступилякорным кредитором Kismet при покупке Avito у южноафриканского холдинга Naspers за 151 млрд руб. Какая именно часть кредита была использована в рамках текущей сделки, собеседник РБК не раскрывает, но указывает, что «на момент сделки в 2022 году долг Avito находился на уровне 6 EBITDA, текущий — 1 EBITDA». Сделка уже прошла согласование в Федеральной антимонопольной службе (ФАС). Изменений в менеджменте сделка не предполагает, так же как и формирование совета директоров с представителями теперь уже двух акционеров, уточняет собеседник РБК. «С учетом текущих темпов развития и показателей Avito стороны не планируют вносить каких-то изменений в действующий формат управления. Банк — финансовый партнер», — объясняет собеседник РБК. В Kismet Capital Group и Россельхозбанке сделку подтвердили. Как сообщили стороны, она была закрыта в апреле, «в рамках партнерства банка и ООО «Кисмет Капитал Груп»: «И Kismet, и РСХБ будут продолжать поддерживать операционную команду компании в рамках одобренной стратегии и заинтересованы в создании долгосрочной акционерной стоимости Avito». Avito — интернет-сервис с объявлениями как от частных лиц, так и от бизнеса — был основан в 2007 году шведскими предпринимателями Йонасом Нордландером и Филипом Энгельбертом. С 2015-го до 2022-го принадлежал группе Naspers. После начала специальной военной операции на Украине южноафриканский холдинг принял решение о продаже бизнеса в России. Покупателем Avito стала Kismet Capital Group Ивана Таврина. На момент этой сделки, то есть по итогам 2022 финансового года (закончился 31 марта), выручка Avito составила 48 млрд руб. (+55% к 2021-му), следовало из отчетности структур Naspers. Выручка ООО «Кех Екоммерц» — основного юрлица сервиса объявлений Avito — за 2023 год составила 100,9 млрд руб., следовало из отчетности ООО. На текущий момент компания развивает семь направлений: продажа товаров, недвижимость, авто, работа, услуги, путешествия и реклама. Занимает четвертое место в рейтинге самых дорогих компаний Рунета, поверсииForbes, с оценкой $4,6 млрд. Предоставленное банком в 2022 году финансирование опциона не предполагало, переговоры о схождении структур банка в капитал Avito начались в конце 2024-го. Как указывает источник РБК, в фокусе акционеров два направления относительно дальнейшей судьбы Avito — «подготовка компании к расширению на международных рынках и проведение IPO». «Россельхозбанк — единственный из крупных российских банков, кто не находится под блокирующими американскими и европейскими санкциями, что позволяет ему финансировать развитие проекта», — объясняет собеседник РБК. Среди приоритетных рынков, которые сейчас рассматривает компания, — Ближний Восток, СНГ, Юго-Восточная Азия. Компания может провести размещение на российской бирже в течение года, продолжает собеседник РБК. С декабря 2023-го Иван Таврин и Kismetнаходятсяпод санкциями США. Текущая структура сделки — 50/50 — в случае проведения размещения снижает долю «санкционного акционера». Среди бенчмарков, на которые ориентируется Avito, собеседник РБК приводит пример как российского «Яндекса» (YDEX), так и международных холдингов схожего профиля — Schibsted, Auto Trader Group и Rightmove. В рамках официального комментария о сделке банк и Kismet также указали, что «стороны рассматривают в дальнейшем возможность выхода Avito на публичные рынки капитала», не раскрывая других деталей. «Рынок для сделок сейчас тяжелый, высокий уровень неопределенности для инвесторов сохраняется, — рассуждает партнер компании Exectica Capital Алексей Замесов. — Но даже на этом фоне Avito можно оценивать в 7–8 EBITDA без учета долга. У компании хороший потенциал для роста выручки, на рынке классифайдов — это абсолютный лидер, с «чистыми» маркетплейсами (Wildberries или Ozon) они не конкурируют». Он отмечает, что у классических маркетплейсов сейчас идет «стадия борьбы за рынок», поэтому они показывают пока околонулевую доходность. «Для РСХБ это суперудачная сделка: Avito — растущий бизнес с низким долгом и перспективой выхода на IPO. Думаю, выход на биржу может состояться до конца 2026 года», — говорит инвестиционный стратег УК «Арикапитал» Сергей Суверов. Международный медиаконгломерат со штаб-квартирой в Осло, Норвегия. В 2024 году разделился на частную Schibsted Media со всеми медиаактивами и публично котируемую Schibsted Marketplaces. Последняя развивает маркетплейсы по четырем основным направлениям: автомобили (более 100 млн посещений в месяц), товары (более 100 млн посещений в месяц), недвижимость (около 60 млн ежемесячных посещений в Норвегии, Швеции и Финляндии) и работа (11,5 млн посещений в месяц, 620 тыс. вакансий в год). Мультипликаторы (по данным Investing.com): Динамика акций: Крупнейший британский автомобильный маркетплейс существует с 1977 года. В 2024-м все его платформы посетили 77,5 млн раз (среднемесячный показатель), а среднемесячное количество автомобилей на платформе достигало 445 тыс. Auto Trader Group также владеет компаниями в области лизинга, автомобильного ПО, цифрового маркетинга и страхования. Мультипликаторы: Динамика акций: Управляет крупнейшим в Великобритании онлайн-порталом недвижимости с 4,1 млн уникальных посетителей ежедневно. Рекламировать свои объекты недвижимости могут только профессиональные игроки рынка — за это они платят сервису комиссию. Частные лица не могут продавать недвижимость напрямую на портале. Мультипликаторы: Динамика акций: Управляет крупнейшим немецким маркетплейсом в сфере жилой и коммерческой недвижимости ImmoScout24. Штаб-квартира в Мюнхене. Портал посещают 19 млн пользователей в месяц. Компания также активна на австрийском рынке. Мультипликаторы: Динамика акций: Россельхозбанк занимает шестое место на российском рынке по размеру активов (5,53 трлн руб. на 1 марта). Это один из немногих системно значимых банков, который не полностью «заражен» санкциями: против него США ввели только секторальные ограничения, запрещающие привлекать долговое финансирование в долларах. В июне 2022 года организацию также отключили от системы передачи финансовых сообщений SWIFT, но банк при этом не находится под блокирующими санкциями Евросоюза. Самые жесткие ограничения к Россельхозбанку применяют Великобритания, Япония, Австралия и Канада. Банк подконтролен Росимуществу, он специализируется на кредитовании компаний агропромышленного комплекса (АПК), а в рознице является основным игроком в сегменте льготной сельской ипотеки. После 2022 года Россельхозбанк также был уполномоченным банком для ведения расчетов в рамках зерновой сделки. Согласно отчетности по МСФО, на конец 2024 года основные активы Россельхозбанка составляли кредиты (4,03 трлн руб.), денежные средства и эквиваленты (0,73 трлн руб.) и инвестиционные ценные бумаги (0,45 трлн руб.). В отчете не приводятся данные о непрофильных активах на балансе банка. В октябре 2023 года банкконсолидировалсвои бизнес-активы на базе вновь созданной компании «РСХБ Финансовые услуги» с уставным капиталом 22,75 млрд руб. Эта структура замыкает на себе управление непрофильным бизнесом. В 2021 году Банк России анонсировал ужесточение регулирования для крупнейших кредитных организаций, имеющих на балансе много непрофильных активов и развивающих экосистемы. ЦБназывалих «иммобилизованными», то есть «замораживающими капитал». Планировалось ввести для участников рынка новый риск-чувствительный лимит (РЧЛ) — предельную долю вложений банка в непрофиль относительно его совокупного капитала. В 2022 году на фоне масштабных санкций против крупных российских банков ЦБ отложил внедрение новых регуляторных требований. Но в 2025 году регулятор вернется к этому вопросу и представит новую концепцию счета РЧЛ, анонсировал ранее глава департамента банковского регулирования ЦБ Александр Данилов. Как отмечает независимый финансовый аналитик Андрей Бархота, появление инвестора является «комбинацией двух контуров — внутреннего и внешнего». «Внутренний трек связан с попыткой создать синергию между моделью маркетплейса и банка. Вероятно, банк будет ориентироваться на действующие механизмы WB и Ozon, когда кредитные и платежные решения будут стимулировать объемы транзакций в Avito, — объясняет эксперт. — Внешний контур связан с возникшей паузой в параде IPO. Вхождение банка в капитал — это появление якорного стратегического инвестора, который может способствовать успешному размещению акций компании на бирже в ходе IPO». По его мнению, ситуация с нагрузкой на капитал банка может ухудшаться, хотя часть давления можно нивелировать за счет реструктуризации сделки таким образом, чтобы альянс не выглядел как формирование экосистемы на базе Россельхозбанка. «Например, можно представить сделку как то, что банк — организатор и инвестиционный консультант по финансированию для Avito», — рассуждает Бархота. В 2021 году ключевые российские маркетплейсы и интернет-платформы начали развивать финансовые услуги за счет приобретения банковского бизнеса: Ozon приобрел Оней-банк у Совкомбанка (сейчас это Озон Банк). «Яндекс» — банк «Акрополь» (сейчас Яндекс Банк), а Wildberries — банк «Стандарт-Кредит» (Вайлдберриз Банк). Первые два открывают клиентам дебетовые карты и вклады, а Wildberries, помимо дебетовых карт, имеет в линейке электронный кошелек «WB Кошелек». В 2024 году банки, связанные с «Яндексом» и Ozon, обогнали традиционных лидеров из топ-50 по темпам прироста вкладов. По данным ЦБ, банки трех крупнейших небанковских экосистем занимают уже 40% на рынке электронных денег, хотя три года назад их доля была в 20 раз меньше. Представители универсальных банков не раз высказывались об усилении конкуренции с банками экосистем за клиентов — маркетплейсы дают скидки потребителям, если те оплачивают товары картами их «родственных» банков. Avito, в отличие от маркетплейсов, не стремилось самостоятельно выйти на банковский рынок. Представители компании заявляли, что при развитии финансовых сервисов акцент делается на «мультипартнерство». «Мы получаем в нашей сложной b2c-специфике хорошие продукты от лучших профессионалов рынка — от банков на хороших условиях — и параллельно учимся, развиваем команду. Это то, что мы делаем сейчас. И в условиях ограниченных ресурсов это дает нам возможность не заморачиваться сложными интеграционным вещами», — говорил руководитель направления стратегических партнерств компании Александр Самсонов в ноябре 2022 года. В марте 2025 года Банк России зарегистрировал «дочку» Avito — АО «Авито Финанс» — в реестре операторов финансовых платформ (ОФП). Этот статус позволяет компании интегрировать продукты финансовых организаций в процесс совершения сделок внутри своего сервиса. Если раньше для покупки в кредит на Avito пользователю приходилось изучать предложения на внешних площадках, то теперь сделку можно заключить на сайте сервиса объявления (данные клиента автоматически «подтянутся» с сайта «Госуслуги»). «РСХБ один из немногих крупных банков, который на сегодня не обладает значимой IT-экосистемой, и это не создает конфликта с самостоятельностью стратегии Avito», — отмечает управляющий партнер инвестбанка Aspring Capital Сергей Айрапетов. Суверов считает, что Россельхозбанк в этой сделка выступает только как финансовый инвестор. «Не думаю, что банк будет стремиться интегрировать свои продукты в Avito. Тем более, что РСХБ — банк, который специализируется на корпоративных клиентах, и потребительское кредитование для них не является приоритетом. Вместе с тем определенные компетенции Avito, например, работа с кадрами, платежи, сделки с недвижимостью все-таки могут быть востребованы РСХБ», — говорит эксперт. ЧитайтеРБКв Telegram. РБК в Telegram На связи с проверенными новостями Что Трамп сказал в интервью Time про Россию, Украину и процесс урегулирования Набиуллина сравнила ключевую ставку с лекарством Уиткофф прогулялся по Арбату. Видео Встреча Путина и Стива Уиткоффа в Кремле. Видео Лавров рассказал о «шепоте» из Франции Кличко допустил отказ Украины от части территорий в обмен на мир Трамп заявил, что Крым останется с Россией ЦБ объяснил решение сохранить ключевую ставку Взорванная машина на месте убийства генерала Генштаба в Балашихе. Видео Хронология контанктов России и США во второй срок Трампа. Инфографика Читайте РБК в Telegram! Подборка наших каналов"
Психологи ожидают волну депрессий. Как она связана с технологиями,https://pro.rbc.ru/demo/680890fb9a79475869b9d896?utm_source=rbc.ru&utm_medium=inhouse_media&utm_campaign=center&utm_content=680890fb9a79475869b9d896&utm_term=10.4Z_noauth&from=column_2,,"В прогнозе, подготовленном Университетом Элон (Северная Каролина) на основе опроса сотен экспертов — специалистов ведущих компаний (Google, Microsoft и др.), нейропсихологов и ученых из других областей, говорится о деградации человеческих способностей, которая произойдет в течение десяти лет. Люди будут на порядок чаще страдать от депрессий, тревоги и одиночества. Многие даже разучатся считать, а возможно, и читать и запоминать информацию. Ни система здравоохранения, ни рынок труда к этому не готовы. Что же нас ждет?"
сохранил ЦБ ключевую ставку⁠,https://ekb.plus.rbc.ru/partners/6809fc287a8aa926db7a597b?utm_source=ekb&utm_medium=main&utm_campaign=908567-6809fc287a8aa926db7a597b&from=column_4,"24 апр, 12:17",
Топ-50 самых популярных франшиз России. Рейтинг РБК,https://www.rbc.ru/finances/25/04/2025/680a15949a7947afe183ecc5?from=column_5,"25 апр, 13:30","Совет директоров Банка России на заседании 25 апреля принял решениесохранитьключевую ставку на рекордно высоком уровне — 21% годовых. ЦБ не меняет ее четвертое заседание подряд. Однако текущая пауза не самая длинная: с сентября 2022 по июль 2023 года регулятор сохранял ставку на одном и том же уровне шесть заседаний подряд. «Текущее инфляционное давление, в том числе устойчивое, продолжает снижаться, хотя и остается высоким. Рост внутреннего спроса по-прежнему значительно опережает возможности расширения предложения товаров и услуг. Вместе с тем, по оперативным данным, экономика начала постепенно возвращаться к траектории сбалансированного роста», — говорится в релизе. Сохранение ставки на уровне 21% предсказывали большинство участниковконсенсус-прогноза РБК, 26 из 30 опрошенных аналитиков крупных российских банков и инвестиционных компаний. Еще четверо экспертов допускали, что ЦБ может снизить ставку на 50–200 б.п. (до 19–20,5%). Еще в марте ЦБ заявлял, что рассмотрит дальнейшее ужесточение политики, в случае если инфляция не будет снижаться достаточно быстро. Теперь он убрал этот сигнал из релиза, но пообещал, что «будет поддерживать такую жесткость денежно-кредитных условий, которая необходима для возвращения инфляции к цели в 2026 году». «Это означает продолжительный период проведения жесткой денежно-кредитной политики. Дальнейшие решения по ключевой ставке будут приниматься в зависимости от скорости и устойчивости снижения инфляции и инфляционных ожиданий», — пишет ЦБ. Прогноз по инфляции регулятор не менял и сохранил его на уровне 7–8% в этом году и 4% в дальнейшем. В первом квартале 2025 года инфляция замедлилась относительно конца 2024-го, но осталась значительно выше цели ЦБ — 4%. По оценке на 21 апреля, она составила 10,3%. В ближайшие месяцы инфляционное давление продолжит снижаться, ожидает Банк России. Значительное замедление темпов роста цен «происходит не по всему кругу товаров и услуг, пока мы не можем сделать вывод об устойчивости скорости снижения общего темпа роста цен», сказала на брифинге председатель Банка России Эльвира Набиуллина. Частично оно произошло благодаря укреплению рубля, но его устойчивость требует дополнительного подтверждения, отмечали аналитики ЦБ в бюллетене «О чем говорят тренды». Если укрепление будет устойчивым, это создаст больше возможностей для снижения ставки, отметила Набиуллина. Кроме того, в апреле после двух месяцев снижения повысились инфляционные ожидания населенияс 12,9 до 13,1%, следует из данных опроса «инФОМ», который проводится по заказу ЦБ. На повышенных уровнях остаются и ценовые ожидания бизнеса —19,8 пункта, что существенно выше, чем в 2017–2019 годах, когда инфляция была близ цели 4%, обращал внимание регулятор. Сохранение ожиданий на повышенном уровне «препятствует более быстрому замедлению инфляции», указывает ЦБ в релизе. Дополнительным риском, который обозначал ЦБ за несколько недель до заседания, стала эскалация тарифных войн. «Тектонические изменения в мировой торговле, они разворачиваются у нас на глазах. И пока очень сложно судить о том, куда они приведут мировую экономику и как отразятся на России. Это новый значительный риск, который мы должны учитывать», — отмечала Набиуллина. На следующее плановое заседание ЦБ, которое намечено на 6 июня, ряд экспертов прогнозируют начало цикла снижения ключевой ставки. «Ставку могут снизить на заседании в июне, и мы ожидаем ее снижения на 2 п.п. (то есть до 19%)», — отмечала ведущий аналитик компании «Цифра Брокер» Наталья Пырьева. Но есть и те, кто прогнозирует более длительный период высоких ставок. «В настоящий момент наиболее вероятным представляется сохранение ставки на уровне 21% более длительное время, но затем более быстрое снижение до 12% к середине 2026 года (или даже ниже при необходимости проведения контрциклической политики)», — писал в обзоре главный экономист «Ренессанс Капитала» Олег Кузьмин. РБК в Telegram На связи с проверенными новостями Что Трамп сказал в интервью Time про Россию, Украину и процесс урегулирования Набиуллина сравнила ключевую ставку с лекарством Уиткофф прогулялся по Арбату. Видео Встреча Путина и Стива Уиткоффа в Кремле. Видео Лавров рассказал о «шепоте» из Франции Кличко допустил отказ Украины от части территорий в обмен на мир Трамп заявил, что Крым останется с Россией ЦБ объяснил решение сохранить ключевую ставку Взорванная машина на месте убийства генерала Генштаба в Балашихе. Видео Хронология контанктов России и США во второй срок Трампа. Инфографика Читайте РБК в Telegram! Подборка наших каналов"
Мотосезон в Москве в 2025 году: где пройдет и как принять участие,https://pro.rbc.ru/demo/67f7d31d9a794773fb76c332?utm_source=rbc.ru&utm_medium=inhouse_media&utm_campaign=center&utm_content=67f7d31d9a794773fb76c332&utm_term=10.4Z_noauth&from=column_7,,"Новый рейтинг франшиз, составленный РБК на основе данных Роспатента, отразил успехи импортозамещения: десятки компаний выиграли от ухода иностранных конкурентов. Рынок стал демократичнее: самый быстрый рост показали сети, не требующие больших вложений в открытие точки. Треть сетей в рейтинге оказались новичками: удачные концепции фастфуда, магазинов и различных сервисов развиваются рекордно быстро. Рынок не только вырос (в 2024 году, по оценкамfranshiza.ru, на нем появилось около 500 новых франшиз), но и заметно обелился: под давлением государств отношения между франчайзером и франчайзи все чаще четко прописаны. Есть и тревожная тенденция: на рынке стали заметны заведения, заставляющие вспомнить 1990-е, — например, рюмочные и компьютерные клубы."
Будущее в индийской деревне и награда Цыганова: как закрылся ММКФ,https://www.autodaily.ru/news/680749b49a7947e0b52abc8a?from=column_9,,
Лаунчпады как трамплин для Web3. Что это и как работает,https://www.rbc.ru/business/25/04/2025/680a323e9a794721bc2cee3b?from=column_13,"25 апр, 08:00","Один из крупнейших санаториев Крыма — комплекс «Ай-Даниль» в Ялте — перешел в собственность государства. Это следует из выписок Единого государственного реестра недвижимости (ЕГРН), с которыми ознакомился РБК. В них сказано, что большая часть строений санатория сменила владельца в начале декабря 2024 года. Ранее о сделке не сообщалось. Предыдущим собственником актива, судя по данным ЕГРН, выступало ООО «Санаторно-курортный оздоровительный комплекс (СКОК) «Ай-Даниль». Но в конце ноября прошлого года оно передало имущество санатория трем физическим лицам, чьи данные в выписках не раскрываются. Их права на объект были прекращены совсем вскоре — уже 4 декабря, говорится в документах. Основанием, как указано там, послужило исполнение «государственного контракта на приобретение санаторно-курортного оздоровительного комплекса «Ай-Даниль» в федеральную собственность». Тогда же комплекс был передан в управление федерального казенного предприятия (ФКП) «Ясень». Эта структура, какуказанона ее сайте, осуществляет реализацию высвобождаемого движимого военного имущества, а также предлагает услуги по реализации движимого имущества государственным и коммерческим организациям за комиссионное вознаграждение. Позднее, в конце января, ФКП «Ясень» подала заявку на товарный знак «Ай-Даниль», свидетельствуют данные СПАРК. РБК направил запросы в Росимущество и ФКП «Ясень». Получить комментарий представителя компании «СКОК «Ай-Даниль» на момент публикации не удалось. Комплекс расположен в 12 км от Ялты в поселке Даниловка на берегу Черного моря. Он включает в себя непосредственно жилые корпуса («главный» и «морской» на 307 номеров), SPA-центр, бассейн, диагностический центр, спортивный комплекс и пляж. Кроме того, за ним закреплен и крупный земельный участок площадью 19,4 га, на котором находится реликтовый можжевеловый лес. Он в 1998 году был объявлен памятником садово-паркового искусства. К примеру, здесь растут краснокнижный можжевельник, земляничник мелкоплодный, фисташка туполистная, а также пушистый дуб и крымская сосна. «Ай-Даниль» был построен в 1960–1970-е годы по проекту архитектора Вениамина Богословского и художника Бориса Алексеева и стал первым высотным санаторно-курортным зданием на Южном берегу Крыма. Свое название комплекс получил в честь некогда расположенного здесь древнегреческого поселения, которое впоследствии дало название всей местности. Первых гостей санаторий начал принимать летом 1974 года. Здесь отдыхали члены правительства и их семьи, а также деятели искусства, актеры и певцы. Среди них, к примеру, были Иван Козловский, Галина Уланова, Эльдар Рязанов, Лев Лещенко, Валентин Зорин, Анатолий Карпов и другие. В советское время санаторий находился в ведении государства. Но в 2004 году Фонд имущества Крыма (на тот момент полуостров входил в состав Украины)передал«Ай-Даниль» за 28 млн грн Мариупольскому металлургическому комбинату им. Ильича, который тогда принадлежал бизнесмену Владимиру Бойко. Впоследствии эту сделку пыталась оспорить прокуратура: но тогда ее иск был отклонен, а сам комплекс остался у предприятия. Оно вложило в его реконструкцию свыше $30 млн. Но затем сменился собственник у самого комбината — его новым владельцемсталукраинский бизнесмен Ринат Ахметов. Он считается богатейшим человеком Украины, по версии Forbes, его состояниеоцениваетсяизданием в $7,9 млрд. Ему, в частности, принадлежат металлургический холдинг «Метинвест» (специализирующийся на производстве стали, добыче угля и руды), банк ПУМБ, транспортная компания «Лемтранс» и другие активы. Бизнесмен также был и владельцем завода «Азовсталь» в Мариуполе. Этот актив в прошлом годупередалив доверительное управление Корпорации развития Донбасса. Вместе с комбинатом Ахметову перешел и «Ай-Даниль». Но это был не единственный его актив в Крыму. В частности, на полуострове емупринадлежалаусадьба «Новый Кучук-Кой» в Симеизе, которая является памятником культуры местного значения. Ее он приобрел в 2004 году за 2 млн грн. Прокуратура также пыталась оспорить законность этой сделки — в 2005 и 2008 годах. Но суд оба раза встал на сторону бизнесмена. Изначально санаторий в Даниловке находился на балансе украинского товарищества «СКОК «Ай-Даниль», чьим собственником до 2012 года выступал Мариупольский металлургический комбинат. В 2013 году эта структура перешла зарегистрированной в Великобритании Сasamo Limited, которая уже годом позднее стала и бенефициаром российского ООО «СКОК «Ай-Даниль». Ахметов же причастность к этой структуре отрицал. В 2019 году его холдинговая компания System Capital Management (SCM)сообщала, что не контролирует ни один из активов, принадлежавших ей до вхождения Крыма в состав России. В феврале 2023 года депутаты Госсовета Крымапостановилинационализировать на полуострове 500 объектов из числа «имущества иностранных граждан и государств, совершающих в отношении России недружественные действия». В их числе были и активы Рината Ахметова, а также Игоря Коломойского и его дочери Анжелики. Сasamo Limited, судя по данным СПАРК, была владельцем «Ай-Даниля» до января 2024 года. Сейчас она прекратила свое существование, свидетельствует информация из реестра британских юридических лиц. Впоследствии владельцами отеля, согласно СПАРК, стали Владимир Потапов, Надежда Обитоцкая и Владимир Кунцевский. А в октябре 2024 года долю в нем получил Петр Кошельников. Он ранее возглавлял Счетную палату Тульской области и был президентом профессионального тульского футбольного клуба «Арсенал». Рыночную стоимость «Ай-Даниля» заместитель директора отдела стратегического и управленческого консалтинга СORE.XP Никита Курносов оценивает в 3–4,5 млрд руб. Председатель правления Ассоциации отельеров AMOC Дмитрий Богданов полагает, что она может достигнуть порядка 10 млрд руб. Это действующий санаторий, который находится в достаточно хорошем состоянии, говорит партнер CMWP Марина Мережко. Она напоминает, что не так давно в нем был проведен ремонт номеров и общественных зон, а также частично обновлена и модернизирована лечебная база. Каких-то срочных работ по реконцепции или дооснащению объекта в настоящий момент не требуется, отмечает она. Расположение же комплекса на первой линии от моря обеспечивает высокий потенциал, даже по меркам местного рынка, рассуждает операционный директор департамента стратегического консалтинга Nikoliers Игорь Кокорев. Большая площадь участка позволяет при необходимости осуществить программу развития санаторно-курортного объекта, считает он. Ялта — одно из основных и наиболее престижных мест отдыха в Крыму, напоминает Кокорев. В России сейчас растет спрос на санаторно-курортный отдых, а полуостров исторически считается одним из самых популярных мест для лечения и оздоровления, напоминает Мережко. В Крыму, по ее словам, насчитывается свыше 100 санаториев с номерным фондом более 20,5 тыс. единиц. В 2025 году спрос на отдых в Крыму вырос, так как на него переключилась часть туристов, которая обычно ездила в Краснодарский край, говорит Курносов. Спрос на Крым вырос на фоне ситуации в Анапе, где Роспотребнадзор накануне летнего сезонапризналпляжи небезопасными для купания после разлива мазута в Черном море. На интерес к Крыму влияют и ожидания, что геополитическая ситуация станет более стабильной, отмечает Курносов. Санаториями в Крыму интересуются не только туристы, но и инвесторы, рассуждает он. Это обусловлено несколькими факторами. Так, у санаториев часто есть собственные закрытые пляжи, которые привлекают гостей, напоминает Курносов. А если возобновится авиасообщение и туристам предложат качественные услуги санаторно-курортного лечения, то доходность таких проектов может значительно вырасти, полагает он. По состоянию на апрель 2025 года в Крыму функционируют 856 классифицированных коллективных средств размещения с общим номерным фондом 41,3 тыс. единиц, напоминает партнер и региональный директор департамента консалтинга и аналитики NF Group Ольга Широкова. В структуре качественного предложения преобладают отели категории 4 звезды — 55%, или 2,2 тыс. номеров, говорит она. На втором месте находятся гостиницы категории 5 звезд (32%, или 1,3 тыс. номеров), на третьем — сегмент 3 звезды (13%, или 0,5 тыс. номеров), указывает эксперт. По ее словам, на рынке представлены отели сетевых операторов, таких как Palmira Group, Luciano, Marins Hotels и другие. Читайте РБК вTelegram. РБК в Telegram На связи с проверенными новостями Что Трамп сказал в интервью Time про Россию, Украину и процесс урегулирования Набиуллина сравнила ключевую ставку с лекарством Уиткофф прогулялся по Арбату. Видео Встреча Путина и Стива Уиткоффа в Кремле. Видео Лавров рассказал о «шепоте» из Франции Кличко допустил отказ Украины от части территорий в обмен на мир Трамп заявил, что Крым останется с Россией ЦБ объяснил решение сохранить ключевую ставку Взорванная машина на месте убийства генерала Генштаба в Балашихе. Видео Хронология контанктов России и США во второй срок Трампа. Инфографика Читайте РБК в Telegram! Подборка наших каналов"
