Заголовок,Время публикации,Описание,Ссылка
AMD представила флагманские видеокарты RX 9070 и 9070 XT: на что они способны,1 час назад,"AMD готовит ответ на видеокарты Nvidia RTX 50-серии. Компанияпредставилаграфические процессоры Radeon RX 9070 и 9070 XT, которые поступят в продажу 6 марта по цене 549 и 599 долларов (49 000 и 53 196 рублей) соответственно — всего на день позже запуска RTX 5070. Главная особенность новинок — архитектура RDNA 4, впервые применяемая в потребительском сегменте. Благодаря ей ускорители демонстрируют вдвое большую производительность в растеризации (без трассировки лучей) на одну вычислительную единицу по сравнению с RDNA 2. Для сравнения: предыдущее поколение превосходило RDNA 2 только в 1,4 раза. Оба графических процессора получили по 16 ГБ памяти GDDR6, порты DisplayPort 2.1a и HDMI 2.1b, а также поддержку PCI Express 5.0. Карты будут питаться через стандартные 8-пиновые разъемы PCIe, что упростит установку без дополнительных адаптеров. По заявлениям AMD, RX 9070 XT работает на 51% быстрее четырехлетней RX 6900 XT в 4K с максимальными настройками и на 26% опережает RTX 3090 в тех же условиях. Относительно RX 7900 GRE прирост составляет 42% в 4K Ultra и 38% в 1440p Ultra. AMD даже намекает, что эта модель почти не уступает флагману прошлого поколения 7900 XTX. Базовая версия RX 9070 тоже впечатляет: на 21% производительнее RX 7900 GRE в 4K, на 38% быстрее AMD 6800 XT и на 26% мощнее Nvidia RTX 3080. При этом AMD называет 4-нанометровый монолитный чип с энергопотреблением 220 Вт «самым эффективным GPU из когда-либо созданных компанией». Важное преимущество новых карт — технология FSR 4 с алгоритмом апскейлинга на базе искусственного интеллекта. Она будет эксклюзивно работать на видеокартах с RDNA 4 и новее. По словам директора по управлению продуктами графического направления Скотта Ольшевски, FSR 4 существенно повышает частоту кадров «при качестве изображения на уровне нативного рендеринга» в 4K. В качестве примера AMD приводитWarhammer 40,000: Space Marine 2,где при 4K Ultra игра выдаёт в среднем 53 кадр/с. С активированными FSR 4 и генерацией кадров производительность возрастает до впечатляющих 182 кадр/с без потери детализации — даже в фоновых элементах изображения. К запуску будет поддержано 30 игр с FSR 4, а к концу года их число вырастет до 75+. Многие из них — проекты с PlayStation 5, что намекает на возможную связь технологии с PlayStation Spectral Super Resolution в готовящейся PS5 Pro. Также AMD отмечает, что игры с FSR 3.1 можно обновить до FSR 4 «простым переключателем». Улучшения коснулись и технологии Fluid Motion Frames (AFMF) — универсальной генерации кадров, применимой к любой игре. Версия 2.1 обещает устранить проблемы с артефактами и размытием деталей. Ценовая политика AMD выглядит особенно интересно на фоне заявлений Nvidia о возможном дефицитеRTX 5070 Tiза 749 долларов (66 500 рублей). AMD же обещает «хорошую доступность на старте» и активную работу с партнерами для поддержания рекомендованных цен. Во втором квартале 2025 года AMD планирует расширить семейство картами серии RX 9060, которые, вероятно, будут конкурировать с пока не анонсированными RTX 5060. Остается надеяться, что компания ответственно подошла не только к технологическому апгрейду, но и к физическому качеству сборки устройств. Новая продукция AMD уже выходила из строя из-за дефектов «с завода». Рассказывали об этомв статье.",https://hi-tech.mail.ru/news/123418-amd-predstavila-flagmanskie-videokarty-rx-9070-i-9070-xt/
Представлена самая безумная версия Doom: игра весит 177 ТБ,2 часа назад,"Культовую игру-стрелялку Doom представили в очень неожиданном формате. Ее перенесли в систему ввода языка программирования TypeScript. Оригинальная игра вышла в 1993 году. Размер всех ее файлов составляет около 2,4 МБ. Благодаря свой простому по нынешним меркам коду, ее портировали на самые разные устройства. Энтузиаст решил создать необычный проект и перенес шутер в систему типов языка TypeScript. Типы описают значения переменных, параметры функций и другие понятия. Это позволяет программистам создавать более предсказуемый и безопасный код. Но технология не предназначена для компьютерных игр в обычном понимании. Программист Дмитрий Митропулос смог создать порт на основе типов. На это он потратил год свой жизни. Проект оказался огромным. Для работы Doom используются 3,5 трлн строк типов. Их общий вес составляет 177 ТБ — это в десятки миллионов раз больше по сравнению с оригинальной версией игры. При этом весь проект при полной оптимизации может весить в семь раз больше Проект работает полностью в системе Typescript, поэтому она выдает чудовищно мало кадров. На компиляцию первого кадра, полностью состоящего только из символов, уходит 12 дней при разрешении, аналогичном 320х200 пикселей. При оптимизированной сборке на это потребуется три месяца. При этом для запуска требуется очень много оперативной памяти — не меньше 90 ГБ ОЗУ. В ближайшее время энтузиаст собирается раскрыть подробности о том, как технически устроен его порт Doom,пишетTom's Hardware. А еще он объяснит, зачем вообще взялся за такой сложный, но по-настоящему уникальный проект. Hi-Tech Mail не раз рассказывал о необычных способах сыграть в культовый шутер. Например, игру смогливыпуститьв формате PDF-документа — аналогично удалось поступить и с «Тетрисом». Помимо этого, Doom даже запустили на капче, подробнее об этом можно прочитатьздесь. Стрелялка работает и набудильнике, разработанном компанией Nintendo. И это не все. Ранее Doom представили на электрическойзубной щетке,газонокосилке, специальном геймерскомкольцеиэкранчикев кнопке клавиатуры. Энтузиастыпортировалиигру даже на кишечную палочку.",https://hi-tech.mail.ru/news/123417-predstavlena-samaya-bezumnaya-versiya-doom-igra-vesit-177-tb/
У Земли могла образоваться не одна Луна,2 часа назад,"У Земли могло образоваться два естественных спутника,пишеткитайский астрофизик Вэньшуаи Лиу в своей недавней статье. По его версии, это прекрасно объясняет загадочный феномен, над которым бьется вся современная наука — сильный наклон орбиты Луны по отношению к земному экватору. Напомним, этот наклон составляет примерно 28 градусов, и по всем расчетам, так быть не должно. Считается, что Луна возникла вскоре после образования самой Земли в результате ее столкновения с гипотетической планетой размером с Марс. Эту планету назвали Тейей в честь богини из древнегреческих мифов — матери богини Луны Селены. Естественный спутник нашей планеты, по господствующей версии, сформировался из осколков этого столкновения. Но дело в том, что гравитация Земли должна была заставить все эти осколки вращаться вокруг себя в плоскости своего экватора. А значит, и Луна должна была расположиться так же. Конечно, со временем ее орбита менялась, но так сильно поменяться без какого-то внешнего воздействия не могла бы. Исходя из сегодняшнего 28-градусного наклона, изначально он должен был составлять 10 градусов. Астрономы уверяют, что это слишком много. Некоторые ученые считают это основанием для того, чтобы полностью перечеркнуть гипотезу Тейи. Но Вэньшуаи Лиу предложил оставить ее в силе, только с одним важным дополнением: из обломков Тейи и Земли образовался не один спутник, а два. По мнению исследователя, они могли в итоге столкнуться друг с другом и слиться воедино, и тогда получившееся небесное тело заняло бы орбиту с наклоном уже в 15 градусов к земному экватору, а это уже больше похоже на правду, то есть на ту исходную точку, из которой дальнейшая динамика привела бы Луну к теперешнему 28-градусому наклону. Рассмотрены и другие варианты: к примеру, что вторую луну могло выбросить в межпланетное пространство. Не исключается даже, что она могла упасть на Землю. В обоих случаях Луна тоже приобрела бы довольно большой наклон орбиты. Интересно, что со спутниками Марса наблюдается «противоположная» проблема: Фобос и Деймос внешне похожи на захваченные когда-то из космоса астероиды, но обращаются они вокруг планеты почти ровно в плоскости ее экватора, как будто вместе с ней сформировались. Ранее планетологипришли к выводу, что океаны Земли образовались уже после появления Луны.",https://hi-tech.mail.ru/news/123416-u-zemli-mogla-obrazovatsya-ne-odna-luna/
Прямо как люди: роботы вместе разбирают продуктовую корзину,2 часа назад,"Компания Figure.aiпредставилароботов, управляемых системой Helix, которые впервые продемонстрировали отличную координацию движений в реальном времени, при перекладывании новых объектов, превосходно взаимодействуя в паре. Helix координирует пространство действий умной машины контролируя все: от отдельных движений пальцев до траекторий конечных эффекторов, взгляда головы и положения туловища. Сбалансированное управление головой и туловищем довольно сложная инженерная задача, ведь их движение непосредственно влияет координацию устройства. Все попытки ученых выровнять их работу до этого, часто приводили к сбоям. Видео демонстрирует эту координацию в действии: робот плавно отслеживает свои руки головой, одновременно регулируя туловище для оптимального положения в пространстве, при этом сохраняя точный контроль пальцев для захвата объекта. Ученые утверждают, что ни одна предыдущая система VLA не демонстрировала такой степени координации в реальном времени, сохраняя при этом способность обрабатывать задачи и захватывать предметы. Впечатляет способность ИИ фактически понимать команды человека, брать предметы со стола, определяя его по описанию. Например, по запросу взять «предмет пустыни», робот выбрал из нескольких предметов, лежащих перед ним на столе — игрушечный кактус. Также Helix работает с объектами, которые он никогда раньше не видел, используя языковой контекст и другие модели для их правильной идентификации и классификации. Эксперты полагают, что спрос на подобную технологию будет большим, ведь таких роботов можно использовать почти во всех сферах. Читайте также нашустатьюо том, как китайский робот-гуманоид научился говорить.",https://hi-tech.mail.ru/news/123414-roboty-vmeste-razbirayut-produktovuyu-korzinu/
Хайтек-салон Lada Iskra показали на фото,2 часа назад,"В июне 2024 года на Петербургском международном экономическом форуме АвтоВАЗ впервые представила свой новый автомобиль B-класса, который должен занять место между моделями Vesta и Granta — Lada Iskra. А сегодня компания наконец-то рассекретила дизайн салона будущей машины и поделилась подробностями о главных фишках интерьера. Напомним, что серийная сборка новинки намечена на 19 апреля 2025 года, а продажи начнутся к концу весны. Согласно заявлению пресс-службы АвтоВАЗ, интерьер Lada Iskra спроектирован по предпочтениям молодой аудитории. Сиденья получили анатомический профиль, а салон — «высокий уровень акустического комфорта» и два варианта обивки: в черно-серых тонах или с яркими вставками и декоративной отстрочкой. При этом акустические нововведения достигнуты из-за повышенной жесткости кузова и расширенного пакета шумоизоляции — в том числе в багажнике. Также известно, что стекла автомобиля получат тонировку до 25%, а в максимальных комплектациях задняя полусфера будет еще темнее. Но вне зависимости от стоимости и выбранных опций, все варианты Lada Iskra получат две фронтальные подушки безопасности, электронную систему контроля устойчивости, функцию удержания на подъеме и ремни с механизмом предварительного натяжения. Все при ориентировочной стоимости автомобиля от 1 миллиона рублей. Тем временем объединение Wildberries & Russпланируетзапустить собственный сервис такси. У специалистов за 20 лет работы накопилось достаточно опыта в логистике и организации транспортных процессов, да и компания уже развивает свой автопарк и привлекает частных перевозчиков. Однако пока что сервис появится только в одной стране — и это не Россия.",https://hi-tech.mail.ru/news/123415-salon-lada-iskra-pokazali-na-foto/
Обновленная версия TikTok для ПК позволяет транслировать игры в альбомной ориентации,3 часа назад,"TikTokрешилосвежить свое деcктопное приложение новыми функциями. Среди последних обновлений можно выделить измененное положение панели навигации, вкладку «Explore», плавающий проигрыватель для Chrome и прямую трансляцию игр в альбомной ориентации для стримеров. До изменений, макет веб-приложения TikTok состоял из строки поиска и ярлыков, расположенных в верхней части экрана, вместе со ссылками по левой стороне. Теперь все они были объединены в вертикальную панель навигации слева. С помощью обновления, ByteDance хочет уменьшить для зрителей отвлекающие факторы для более захватывающего просмотра видеотрансляции, как это сделали ранее YouTube и Twitch. До обновления, веб-пользователи китайского видеосервиса могли делать только ландшафтный режим трансляции с помощью приложения Live Studio. Теперь же TikTok поддерживает полноэкранную прямую трансляцию игр в альбомной ориентации. Функция расширяет возможности стримеров, позволяя им лучше взаимодействовать с аудиторией. А вот новый плавающий плеер, который способен ставить TikTok поверх других окон, доступен только в Chrome. Коме этого, на платформе появилась новая вкладка Коллекции (похожая на плейлисты YouTube), где вы можете организовать ваши любимые видео в пользовательские категории, для удобства последующего просмотра. Также на десктоп перешли функции лента For You, с алгоритмически подбираемым контентом на основе интересов юзера, и страница, показывающая трендовые хэштеги и популярный контент. Изменения для ТикТок-веба уже ступили в силу и теперь доступны по всему миру. Читайте также нашустатьюо планах Instagram* по запуску отдельного приложения для Reels.",https://hi-tech.mail.ru/news/123412-tiktok-dlya-pk-pozvolyaet-translirovat-igry-v-albomnoj-orientacii/
Новейшая установка «Лотос» впервые представлена в Абу-Даби: чем интересно уникальное орудие,3 часа назад,"Сообщаетсяо презентации в Абу-Даби Группой компаний «Калашников» новейшего самоходного артиллерийского орудия. Работы над САО «Лотос» стартовали в 2015 году. На форуме «Армия-2017» проект впервые был презентован официально. Разработчиком выступил Центральный НИИ точного машиностроения (ЦНИИТОЧМАШ), входящий в состав Группы компаний «Калашников». Машина создана на шасси, унифицированном с шасси боевой машины десанта БМД-4М. Соответственно, новая самоходка обладает всеми преимуществами БМД: Двигатель 2В-06-2 мощностью 450 лошадиных сил позволяет достигать САО «Лотос» высоких динамических показателей. Машина способна развивать скорость до 70 километров в час на шоссе и до 40 километров в час на пересеченной местности. В башне САО «Лотос» размещено орудие калибра 120 мм. Оно является дальнейшим развитием легендарной системы 2А51, основного орудия самоходки 2С9 «Нона-С». Новая система обладает всеми преимуществами своего предшественника, то есть может применять широкий спектр специализированных, корректируемых боеприпасов и обычных минометных мин калибра 120 мм. При этом длина ствола нового орудия значительно увеличена, что повышает дальность стрельбы. Также для нового орудия разрабатываются перспективные корректируемые активно-реактивные боеприпасы. По заявлениям разработчиков, их использование позволит довести дальность эффективного огня установки до 30 километров, что уже сравнимо с дальностями стрельбы артиллерийских систем калибра 122 мм. САО «Лотос» должно заменить минометно-артиллерийский комплекс «Нона-С» в частях Воздушно-десантных войск и Морской пехоты. В настоящее время завершаются государственные испытания системы. То, что она была продемонстрирована на международной оружейной выставке в Абу-Даби, может свидетельствовать об уверенности разработчиков в высоких характеристиках САО. Установка с такими достоинствами и уникальными параметрами должна иметь экспортный потенциал. Про другую новинку от Группы компаний «Калашников», продемонстрированную в Абу-Даби, можно прочитать вматериалеHi-Tech Mail.",https://hi-tech.mail.ru/news/123411-novejshaya-ustanovka-lotos/
Ученые объяснили особенности парада планет 28 февраля,4 часа назад,"Последняя неделя февраля 2025 года ознаменовалась достаточно редким (хотя и не уникальным) астрономическим событием, известным широкой общественности как «парад планет». В эти дни сразу несколько планет Солнечной системы в определенные промежутки времени будут находиться в пределах наблюдаемой с Земли небесной полусферы. В последний день месяца случится новолуние. В связи с этим в склонной к мистицизму прессе появляются леденящие кровь заголовки «Как выжить 28 февраля?» или «К чему готовиться после парада?» Ученые спешат успокоить взволнованную общественность. Во-первых, дурное влияние выстроенных в одну шеренгу небесных тел на жизнь людей никем не доказано. Во-вторых, сегодняшнее событие — отнюдь не ровный строй по прямой линии. В-третьих, для россиян соединение планет в последний день зимы будет неполным, это будет так называемый малый парад планет. Какрассказаласотрудник Московского планетария Людмила Кошман, в узком юго-западном секторе небесной сферы между 20° и 30° соберутся Венера, Меркурий, Сатурн и Нептун. Но невооруженным глазом, даже при условии хорошей погоды, удастся увидеть только Венеру. При очень хорошем зрении и исключительном везении можно поймать ближайший к Солнцу Меркурий. Сатурн и особенно Нептун можно будет разглядеть только в бинокль или любительский телескоп. Остальные планеты (Марс, Юпитер и Уран) будут располагаться вечером в южном секторе (примерно на 130°), но их наблюдение возможно только с помощью оптики.Расчехлять бинокли и телескопы следует с 18:30 до 21:30 по московскому времени. Но предварительно стоит ознакомиться с прогнозом погоды. Термин «парад планет» ненаучный, используется лишь для популяризации астрономических знаний и в астрологии. Ученые предпочитают термин «соединение». Близкое расположение пяти и большего количества планет именуется великим парадом (соединением). Календарь таких событий был достаточно точно рассчитан еще в докомпьютерную эру. Сейчас ученые могут предсказать положение объектов с точностью до секунд. Однако стоит учесть, что гравитационное взаимодействие небесных тел меняет параметры их вращения вокруг Солнца в плоскости эклиптики. На очень продолжительные периоды времени прогнозировать соединения планет с большой точностью нельзя. Эклиптика — воображаемая секущая небесную сферу плоскость, по которой общий центр масс Земли и Луны обращается вокруг Солнца. Эклиптические плоскости других планет практически параллельны земной. Во время формирования Солнечной системы сначала образовался гигантский протопланетный диск, внутри которого и очертились орбиты крупных объектов. Расчеты показывают, что раз в несколько миллионов лет случается «величайший» парад, когда все восемь планет, включая Землю, выстраиваются на общей прямой по одну сторону от Солнца. Но земные наблюдатели в этом случае смогут любоваться лишь пятью небесными телами — Марсом, Юпитером, Сатурном, Нептуном и Ураном. Венера,Меркурий и Солнце останутся «по другую сторону» Земли. О том, когда состоится очередной великий парад планет, рассказываетматериална нашем сайте.",https://hi-tech.mail.ru/news/123407-parad-planet-v-fevrale-2025-chto-izvestno-o-kosmicheskom-yavlenii/
«Глаз Бога» перестал работать: в чем дело,4 часа назад,"Онлайн-сервис для поиска личных данных россиян «Глаз Бога» перестал работать. СМИ сообщили о том, что это связано с обысками у основателя бота, однако он опроверг эту информацию. Сервис для «пробива» перестал работать 27 февраля. КакпишетTelegram-канал Baza, в средствах массовой информации появились сообщения о том, что это произошло после того, как у Евгения Антипова, основателя «Глаза Бога», якобы провели обыски. По данным СМИ, это связано с уголовным делом о незаконном использовании персональных данных. Сам Антипов опроверг слухи о возможных действиях правоохранителей. По его словам, обысков не было, а перерыв в работе бота связан со «спорами с поставщиками информации». Он подчеркнул, что «кто-то меняет цены, кто-то просит другие условия». Ситуация возникла в связи с появлением новой статьи 272.1 Уголовного кодекса Российской Федерации о незаконном использовании, передаче, сборе или хранении персональных данных и создании ресурсов для этих целей. Предприниматель отметил, что перерыв в работе бота начался 27 февраля в 15:30. О «небольших технических изменениях», которые продлятся «до 48 часов», Антиповнаписалв своем личном Telegram-канале в тот же день. Спустя сутки онпризвал«прекратить панику». По его словам, бот отказался от работы с источниками, которые содержат или могли содержать утечки, а также запретил поиск данных по детям. «Законы создаются для того, чтобы после их принятия проводились проверки. Это нормально. В данном случае технические работы также необходимы, так как мы в большей степени являемся агрегатором, и многие источники и парсеры начинают менять правила игры», — добавил Антипов. В январе Роскомнадзор сообщил, что по итогам 2024 года в открытом доступе оказались 710 млн записей с личными данными жителей России. Всего специалисты зафиксировали 135 случаев распространения баз данных в интернете. Общее число утекших данных оказалось больше, чем годов ранее. В 2023 году в базах данных сотрудники ведомства нашли 300 млн записей. Подробнее об этом можно прочитатьздесь.",https://hi-tech.mail.ru/news/123404-glaz-boga-perestal-rabotat-v-chem-delo/
Ученые раскрыли секрет правильного восстановления после тренировок,5 часов назад,"Активным восстановлениемназывается выполнение упражнений низкой или умеренной интенсивности после тяжелой физической нагрузки в течение 6−10 минут. В качестве активного восстановления подойдет ходьба, пробежка в легком темпе, небольшая растяжка, серия упражнений с собственным весом, например, приседаний и выпадов. Главное, чтобы такие упражнения было легкой или умеренной интенсивности. Проверить это легко: если во время упражнений вы можете спокойно разговаривать, значит, интенсивность выполнения оптимальная. Принцип действия активного восстановления заключается в ускорении выведения из мышц продуктов обмена веществ, в частности, молочной кислоты и ионов водорода, которые накапливаются после интенсивных нагрузок. Ускорение выведения таких веществ, по мнению некоторых ученых, способствует быстрому восстановлению, а также позволяет уменьшить боль в мышцах, которая обычно возникает из-за накопления лактата после интенсивных тренировок. При этом активное восстановление не уменьшает интенсивность воспаления в мышцах, и это хорошо. Дело в том, что такое посттренировочное воспаление полезно — оно стимулирует рост силы и выносливости. Многие популярные методы восстановления после тренировок, например, ледяные ванны, снижают воспаление, и тем самым замедляют адаптацию организма к нагрузкам. В отличие от них, активное восстановление не подавляет естественные процессы восстановления, поэтому его можно применять регулярно без риска ухудшения спортивных результатов. Однако далеко не все научные исследования подтверждают пользу активного восстановления. В некоторых экспериментах ученые не обнаружили разницы в состоянии спортсменов, практиковавших активное восстановление, и тех, кто после нагрузки просто отдыхал. Отдельные работы вообще опровергают эффективность активного восстановления. Почему же одни исследования показывают положительный эффект, а другие — нет? Во-первых, методики активного восстановления, применяемые в различных исследованиях, сильно отличаются друг от друга. Для того, чтобы сравнивать их, нужно привести методики к определенному стандарту по продолжительности и интенсивности упражнений. Во-вторых, возможно, эффект активного восстановления слишком мал, чтобы быть статистически значимым, но при этом его может быть достаточно, чтобы оказывать ощутимое влияние на самочувствие спортсмена. Несмотря на разногласия, ученые сходятся в одном: активное восстановление не приносит вреда. В лучшем случае оно поможет спортсменам быстрее восстанавливаться, в худшем — просто не окажет эффекта. Поэтому его можно рекомендовать тем, кто испытывает высокие физические нагрузки и нуждается в быстром восстановлении, особенно если перерывы между интенсивными тренировками небольшие — менее 24 часов. Ранее ученые раскрылимеханизмтого, как физические упражнения улучшают работу мозга.",https://hi-tech.mail.ru/news/123403-uchenye-raskryli-sekret-pravilnogo-vosstanovleniya-posle-trenirovok/
