Заголовок,Время публикации,Описание,Ссылка
Как риелтор и партнер Трампа по гольфу стал переговорщиком по Украине,"15 фев, 11:01","Стив Уиткофф родился 15 марта 1957 года в Нью-Йорке в еврейской семье. У его отца был бизнес по производству женской одежды, а мать была дизайнером интерьеров. В 1983 году Уиткофф получил диплом юриста в частном Университете Хофстра в Хемпстеде, штат Нью-Йорк. После окончания университета он устроился работать в юридическую фирму Dreyer & Traub, где специализировался на сделках с недвижимостью. Именно там Уиткофф впервые встретил Трампа, который был клиентом его фирмы. Знакомство с успешным бизнесменом и героем таблоидов произвело на молодого Уиткоффа столь сильное впечатление, что он решил оставить прежнее поприще и заняться торговлей недвижимостью. В 1985 году он вместе с бывшим коллегой Ларри Глаком основал компанию Stellar Management Company, которая скупала недорогие здания в районах Вашингтон-Хайтс и Бронкс в Нью-Йорке, а затем стала действовать и на Манхэттене. Первые пару лет Уиткофф совмещал бизнес с юридической практикой в фирме Rosenman & Colin. В 1997 году он основал Witkoff Group. Статья The Wall Street Journal от 1998 годахарактеризуетУиткоффа как предпринимателя, не боящегося идти на риск. Как выяснили ее авторы, первые большие деньги будущий политик получил в возрасте 17 лет: Уиткофф делал ставки на ипподроме. На выигрыш он купил подержанный спорткар, но тем же летом был вынужден его продать после череды неудачных ставок. После этого на бега он не возвращался, но азарта не утратил. Издание пишет, что Уиткофф сколотил свою империю, скупая жилые и офисные помещения в Нью-Йорке с сильным дисконтом, причем чаще всего полностью на заемные средства. Его частым кредитором выступала финансовая фирма Lehman Brothers, банкротство которой стало отправной точкой мирового экономического кризиса 2008 года; под одну из сделок он занял у компании 98% стоимости актива. В купленных зданиях Уиткофф делал ремонт, а затем сдавал их в аренду или продавал, либо же закладывал, чтобы купить новые. Поначалу предприниматель сам занимался обслуживанием принадлежащих ему зданий, чтобы снизить расходы на фоне разразившегося кризиса на рынке недвижимости: 31 декабря 1991 года он покинул семейное застолье, чтобы помочь вырыть траншею под водопроводную трубу в Гарлеме. В 1998 году, когда вышла статья WSJ, в собственности предпринимателя уже было 30 офисных зданий стоимостью $2,5 млрд, причем 80% от этой суммы он был должен банкам. Сейчас личное состояние Уиткоффа, по разным данным, составляет от $500 млн до $1 млрд. В собственности Witkoff Group находится 51 объект недвижимости в Лондоне, Майами и Нью-Йорке. В 1990-х годах знакомство между Трампом и Уиткоффом переросло в дружбу. В последние годы оба предпринимателя проводят много времени во Флориде, где играют в гольф. Именно Уиткофф составлял компанию республиканцу в Trump International Golf Club 16 сентября 2024 года, когда охрана политика заметила затаившегося в кустах вооруженного мужчину. Впоследствии этот инцидент был расценен как покушение на убийство. Вскоре после победы на президентских выборах Трамп объявил о решении назначить Уиткоффа своим спецпосланником по Ближнему Востоку. «Стив — очень уважаемый бизнесмен и филантроп, который сделал каждый проект и сообщество, в котором он участвовал, более сильным и процветающим. Стив будет неутомимым борцом за мир, и мы все будем им гордиться», — объяснил свой выбор республиканец. Несмотря на то что у Уиткоффа нет ни дипломатического образования, ни опыта работы на связанных с внешней политикой должностях, решение Трампа мало кого удивило: в свой первый президентский срок он поручил Ближний Восток не карьерному дипломату, а своему зятю Джареду Кушнеру. В январе также сообщалось, что Уиткоффу может быть поручено вести переговоры о новой ядерной сделке с Ираном, к которой активно призывает американский президент. 11 февраля спецпосланник Трампа прилетел с необъявленным визитом в Москву, по итогам которого забрал в США бывшего учителя англо-американской школы Марка Фогеля, в 2022 году приговоренного к 14 годам за незаконное хранение и контрабанду наркотиков. Взамен Вашингтон передал России Александра Винника, арестованного по запросу США в Греции в 2017 году по обвинению в отмывании денег через созданную им криптобиржу BTC-e.  Телеведущий Fox News Шон Хэннити утверждает, что, находясь в Москве, Уиткофф провел переговоры с Владимиром Путиным, которые продлились три с половиной часа. Их содержание неизвестно, да и сам факт встречи не подтвердили ни в Кремле, ни в Белом доме. Однако уже на следующий день состоялся первый официальный телефонный разговор между лидерами России и США. Рассказывая о содержании этой телефонной беседы 12 февраля, президент США Дональд Трамп также назвал состав американской команды переговорщиков: госсекретарь США Марко Рубио, директор ЦРУ Джон Рэтклифф, советник по национальной безопасности Майкл Уолтц и Уиткофф. В президентском посте не упоминалось имя спецпосланника по Украине генерала в отставке Кита Келлога, хотя в Белом доме заверили, что он «остается важной частью команды», работающей над мирным урегулированием. Вероятно, на решение Трампа вверить Уиткоффу украинский трек повлияли те же соображения, что и при его назначении спецпосланником по Ближнему Востоку. «У нас есть люди, которые знают все о Ближнем Востоке, но они не умеют вести разговор должным образом... Он отличный переговорщик», — объяснял американский президент в январе свой выбор. Уиткофф, видимо, действительно обладает силой убеждения. ПоданнымTimes of Israel, именно он склонил Биньямина Нетаньяху заключить сделку о перемирии с ХАМАС, достигнув большего прогресса за одну встречу, чем команда Джо Байдена за несколько месяцев. «Уиткофф не дипломат. Он говорит не как дипломат, его не интересуют дипломатические манеры и дипломатический протокол. Он бизнесмен, который хочет быстро заключить сделку и необычайно агрессивно продвигается вперед», —заявилHaaretz израильский дипломат на условиях анонимности. Схожей оценкойподелисяисточник The Telegraph, близкий к президенту США: «Уиткофф — животное. Он крутой нью-йоркский риелтор. Трампу нравится, что он избил Биби (Биньямина Нетаньяху. —РБК), так что теперь Уиткофф, вероятно, будет ведущим переговорщиком». В отличие от Келлога, который известен «ястребиными» взглядами и предлагал принудить Россию к переговорам при помощи экономического давления, Уиткофф, во всяком случае в публичном поле, делает ставку на личные взаимоотношения между лидерами России и США. «Я думаю, что у них была прекрасная дружба, и я думаю, что теперь она продолжится, и это действительно хорошо для всего мира», — заявил он после возвращения из Москвы. РБК в Telegram На связи с проверенными новостями Порошенко назвал возможную дату президентских выборов на Украине Bloomberg узнал о плане ЕС нарастить военные расходы и помощь Украине Reuters опубликовал вопросы США к ЕС по урегулированию на Украине Уиткофф объявил о визите в Саудовскую Аравию для переговоров с Россией Финский президент представил свою концепцию урегулирования на Украине Песков пообещал, что Россия не угодит «в сети лживых обещаний» Запада Кремль исключил влияние санкций на переговоры по Украине В ЕС считают, что Трамп заставит Европу заплатить за восстановление Украины РБК запускает винный салон. Расписание Читайте РБК в Telegram! Подборка наших каналов Какие полезные ископаемые Украины могут интересовать США. Инфографика",https://www.rbc.ru/politics/15/02/2025/67af37009a7947c4633861ec?from=column_1
сократился запас наличной валюты у россиян за год,"15 фев, 09:30","Объем наличной иностранной валюты у российских домохозяйств на 1 января 2025 года составил почти 9,4 трлн руб., или $92,4 млрд в долларовом эквиваленте, следует из расчетов РБК на основе статистики ЦБ. За 2024 год остатки валютной наличности на руках у населения сократились на 4,9%, или $4,7 млрд. Снижение продолжается второй год подряд, но стало более выраженным (в 2023-м оно оценивалось в $0,5 млрд). До этого сбережения населения в наличной иностранной валюте росли как минимум с 2018 года.  Фактор, который стимулировал изменение структуры сбережений россиян, в том числе сокращение накоплений в валюте, — высокие ставки, считают опрошенные РБК эксперты. «Мы видели эффект высоких ставок на динамику наличности в целом: и из рублевой выходили, и в долларовую не перекладывали, потому что в приоритете оставались рублевые инструменты с хорошей доходностью (вроде депозитов). Доля валютных инструментов в сбережениях домохозяйств росла только в ситуациях девальвации рубля, и то это был лишь краткосрочный эффект от переоценки», — говорит главный экономист «Т-Инвестиций» Софья Донец.  «Растет мотивация граждан к конвертации валютных сбережений в рубли, чтобы получить хороший пассивный доход», — соглашается управляющий директор «Эксперт РА» Юрий Беликов. Он также напоминает, что переток наличности на депозиты в валюте ограничен, поскольку многие российские банки ввели «самоограничения» на прием таких вкладов. Тенденцию перетока в банки наличности, в том числе валютной, ранееотмечалглава «Сбера» Герман Греф: «Мы видим исторически самые низкие запасы «матрасных» денег. Люди вытаскивают деньги из подушек и матрасов, все несут на депозиты». По его оценкам, во второй половине 2024 года объем «матрасно-подушечных денег» сократился на 20%. ПоданнымЦБ, на 1 января 2025 года физлица держали на депозитах в российских банках 40,44 трлн руб. За 2024 год эта сумма увеличилась на 38%. Вслед за ростом ключевой ставки российские банки улучшали условия по депозитам для населения: средневзвешенные ставки по вкладам на срок свыше годаподнялисьболее чем на 8 п.п. и превысили 20% в конце года. КаксообщилоАгентство по страхованию вкладов (АСВ), прирост средств населения, подлежащих страхованию (вклады до 1,4 млн руб.), оказался рекордным за 14 лет. 94,2% накоплений на депозитах — рублевые, они составляют 38,08 трлн руб. Объем валютных вкладов на 1 января оценивался в $23 млрд. За год он уменьшился на $4 млрд, или почти 15%. Сокращение наблюдается третий год подряд. Еще один фактор сжатия объема валютной наличности на руках у населения — трата этих денег, например в поездках за рубежом. «У нас, как в игре в «Монополию», в коробочке есть бумажки, и новыхне добавляют, то же самое происходит с валютной наличностью в России в долларах и евро. Есть статистика, что небольшой объем наличной иностранной валюты вместе с торговым потоком поступает в Россию, именно новых купюр долларов и евро, но это ручеек, очень тонкий поток. Также не надо забывать, что такая наличность частично может утилизироваться бизнесом в торговых операциях, а не физлицами. Расходование наличной валюты в зарубежных поездках происходит без замещения встречным потоком. Когда мы приезжаем за границу, в основном мы тратим там валюту в наличной форме», — говорит Донец.  «Сбереженная наличная иностранная валюта расходуется в зарубежных поездках, тогда как панические настроения, в ряде случаев подталкивавшие к сбережению этих средств любой ценой, естественным образом затухают», — добавляет Беликов. Донец тоже указывает, что у россиян не так много стимулов копить сейчас наличные доллары или евро. «Доступ населения к «хрустящим долларам» не становится больше, но и физлица за ними не гонятся — в банках достаточно высоки спреды на покупку и продажу валюты. Если мы хотим держать наличные доллары из расчета, что доллар подорожает к рублю, то этот рост должен перекрывать в том числе высокие спреды валютообменных операций, это не прибавляет валютной наличности популярности как инструменту сбережений. Есть ощущение, что в инвестиционных целях наличная валюта потеряла привлекательность не только из-за рублевых ставок, но из-за вот этих спредов», — рассуждает эксперт. Она считает, что в 2025 году тенденция снижения объема валютной наличности у российских домохозяйств сохранится. Этой же точки зрения придерживается и Беликов. Он объясняет это тем, что действующие факторы — высокие рублевые ставки и ограничения на ввоз наличной валюты в Россию — пока сохраняются.  Снижение объема наличной валюты на руках у населения вряд ли может стать устойчивой тенденцией, возражает руководитель группы рейтингов финансовых институтов АКРА Валерий Пивень. По его словам, сокращение показателя в 2024 году пока не настолько значительно, чтобы «говорить о серьезных изменениях сберегательных предпочтений населения». «Продажа валюты и ее перевод на вклады могли иметь место с учетом того, что снижение объема наличных в основном фиксировалось во втором полугодии, когда ключевая ставка и ставка по вкладам начали активный рост. Однако в целом население не склонно избавляться от наличной валюты, поэтому тут могли иметь место и другие факторы», — говорит эксперт. РБК в Telegram На связи с проверенными новостями Порошенко назвал возможную дату президентских выборов на Украине Bloomberg узнал о плане ЕС нарастить военные расходы и помощь Украине Reuters опубликовал вопросы США к ЕС по урегулированию на Украине Уиткофф объявил о визите в Саудовскую Аравию для переговоров с Россией Финский президент представил свою концепцию урегулирования на Украине Песков пообещал, что Россия не угодит «в сети лживых обещаний» Запада Кремль исключил влияние санкций на переговоры по Украине В ЕС считают, что Трамп заставит Европу заплатить за восстановление Украины РБК запускает винный салон. Расписание Читайте РБК в Telegram! Подборка наших каналов Какие полезные ископаемые Украины могут интересовать США. Инфографика",https://www.rbc.ru/finances/15/02/2025/67af19a69a79473f8ca2b730?from=column_4
Топ-50 самых быстрорастущих компаний России. Рейтинг РБК,,"В новый, одиннадцатый по счету, рейтинг вошли российские компании, которые три года подряд демонстрировали самую крупную выручку. Список сильно обновился: из него выпали четыре пятых участников предыдущего рейтинга. Не повезло даже чемпионам: например, в новый рейтинг не попал прежний лидер, черноморский порт «ОТЭКО-Порт — сервис». Среди нынешних участников немало компаний, которые поднялись на «импортозамещении по-российски», правда, совсем не таком, какого хотело бы государство. В рейтинге есть даже одна фирма, занимающаяся майнингом криптовалюты. Несмотря на рекордную суммарную выручку участников рейтинга, цифры настораживают: темпы роста у многих компаний в 2023 году заметно снизились. И в глубинке дела обстоят заметно хуже, чем в столице.",https://pro.rbc.ru/demo/674fe0be9a794799f9cfe4eb?utm_source=rbc.ru&utm_medium=inhouse_media&utm_campaign=center&utm_content=674fe0be9a794799f9cfe4eb&utm_term=10.4Z_noauth&from=column_6
Зачем Трампу понадобился свой фонд национального благосостояния,"15 фев, 09:00","Президент США Дональд Трамп 3 февраля подписалуказ, предписывающий министерствам финансов и торговли в течение трех месяцев разработать план создания американского фонда национального благосостояния (суверенного фонда). В этом плане должны содержаться рекомендации по источникам фондирования, инвестиционным стратегиям, модели управления фондом. Министр финансов США Скотт Бессент заявил, что суверенный фонд может быть создан в течение 12 месяцев, а сам Трамп пообещал, что его администрация «создаст много богатства» с этим фондом. Хотя для США это будет первый такой опыт, в 23 американских штатах действуют аналоги суверенных фондов с общими активами на $332 млрд, следует изматериаловадминистрации Трампа. В том числе фонды Аляски, Техаса, Нью-Мексико управляют доходами от природных ресурсов. Однако на федеральном уровне дефицит бюджета США составляет $2 трлн (за 2024 календарный год) при госдолге свыше $36 трлн — в таких условиях создание нового фонда вызывает вопросы о его устойчивости, предупреждает управляющий директор инвесткомпании «Риком-Траст» Дмитрий Целищев. Как правило, суверенные фонды финансируются из бюджетных профицитов или ресурсных доходов (например, от нефти и газа), пишет юридическая фирма Holland & Knight. В России Фонд национального благосостояния (ФНБ) — это классический сырьевой фонд, который есть у многих стран, для управления цикличностью или шоками в бюджетных доходах. «То есть накапливаем в хороший день, чтобы тратить в плохой день», — говорит главный экономист «Т-Инвестиций» Софья Донец. Но в мире, добавляет она, есть и много фондов (в том числе в некоторых странах ОПЕК, азиатских странах), где использование накоплений не привязано к дефицитам/профицитам бюджета, а исходит из другой логики: если есть умеренный дефицит и есть чем его финансировать, то могут оставаться излишки, которые можно направить на прямые инвестиции.  Фонд США, по-видимому, будет не классическим бюджетным фондом, а «фондом активов», напрямую не связанным с бюджетом США, предполагает главный научный сотрудник Института Гайдара Сергей Дробышевский. А при такой конструкции нет необходимости в разработке бюджетных правил (как в России, где ФНБ пополняется за счет нефтегазовых сверхдоходов и расходуется при их недостаче) и наличии профицита федерального бюджета, указывает Дробышевский. Судя по информации с сайта Международного форума суверенных фондов (IFSWF), есть фонды и в странах с двойным дефицитом — бюджета и текущего счета, это Панама, Руанда, Мексика, Сенегал, Гана, Греция, Индонезия, Новая Зеландия, Египет, Турция, перечисляет доцент факультета мировой экономики и политики НИУ ВШЭ Ксения Бондаренко. Казахстан в последние годы использует доходы от ранее накопленного бюджетного профицита и снижает дефицит своего бюджета через регулярный трансферт из Нацфонда, добавляет она. Однако макроэкономист Марк Кросби из Университета Монаша в Мельбурнесчитает, что успешные фонды создаются в основном в странах, у которых небольшая долговая нагрузка. Например, у Норвегии (норвежский суверенный фонд — крупнейший в мире, $1,8 трлн) госдолг к ВВП составляет лишь 44%. «Для страны, у которой много долга, это [создание фонда] не имеет большого смысла», — говорит он. Федеральный госдолг США составляет 123% ВВП.  Американский Белый дом утверждает, что у правительства США имеется «огромная сумма активов с высокой оценкой, которые могут быть инвестированы через суверенный фонд». По его данным, сумма таких активов — $5,7 трлн, а если учесть «запасы природных ресурсов», то эта сумма будет «намного больше». Тем не менее источники наполнения пока неясны. Ранее Трамп высказывал идею, что суверенный фонд может обеспечиваться доходами от импортных тарифов. Учитывая, что у США нет ни нефтегазовых сверхдоходов, ни валютных резервов, есть три базовых способа, как профинансировать такой институт, — заимствования на рынке, продажа американских госактивов либо доходы за счет налогов или тарифов, отмечает старший научный сотрудник Института международной экономики им. Петерсона (PIIE) Аднан Мазарей в публикации издания Foreign Policy. Гипотетически фонд может выпускать собственные облигации, обслуживать которые можно за счет доходов от активов, рассуждает Дробышевский. Скорее всего, фонд будет занимать, но это может быть «квазигосударственный», а не прямой государственный долг, говорит Бондаренко. В случае долгового финансирования возможен будет арбитраж — занять под один процент, получить от инвестиции больше, но это вряд ли будет основной целью, добавляет она.  Учитывая уровень госдолга США, финансирование за счет новых заимствований кажется не столь вероятным, сомневается главный экономист Института экономики роста им. П.А. Столыпина Борис Копейкин. Эксперты PIIEсчитают, что любые заимствования суверенного фонда увеличат консолидированный долг федерального правительства США, «повысив процентные ставки для всех». Конечно, такие фонды можно финансировать и из какой-то выделенной части доходов бюджета, но это не очень распространено, говорит Донец. При этом даже если фонд будет инвестировать во внутреннюю инфраструктуру США, это все равно будет отличаться от обычных бюджетных расходов. «Средства фонда тратятся с расчетом на возвратность, то есть проект осуществился и выходит на некую самоокупаемость. Инвестиция в этом смысле должна подразумевать не просто расходы на бесплатную дорогу, а некий частно-государственный проект», — объясняет Донец, напоминая, что принцип инвестиций из ФНБ России именно такой. В истории были примеры (например, в Эстонии или ЮАР), когда суверенные фонды создавались за счет государственного имущества или доходов от приватизации, в Сингапуре и Катаре есть фонды, не зависящие от поступления конъюнктурных или текущих доходов бюджета, указывает Дробышевский. В американский суверенный фонд теоретически могут быть помещены даже замороженные резервы России (оцениваютсяв $4–5 млрд в части, приходящейся на США) или активы попавших под санкции иностранных компаний, а также другие активы, конфискуемые у собственников в пользу американского государства, допускает эксперт. Бондаренко не исключает использования криптовалют при финансировании фонда. Поскольку в сопроводительных материалах к указу администрация США упомянула в том числе природные ресурсы как источник потенциальных активов, инициатива о создании фонда может быть связана с идеями Трампа о наращивании добычи ресурсов в стране, размышляет Копейкин. В указе республиканца Трампа говорится о том, что план учреждения суверенного фонда должен учитывать потенциальную необходимость в принятии отдельного закона. Создание фонда может потребовать одобрения конгресса США, комментируют в Holland & Knight. В настоящее время конгресс (обе палаты) контролируется представителями Республиканской партии. Конгресс должен будет, в частности, одобрить правовую модель фонда, включая систему управления и инвестиционные принципы. Без крепкой модели управления, включая регулярный аудит и публичное раскрытие информации, существует риск, что фонд будет принимать «политизированные инвестиционные решения», выгодные отдельным заинтересованным группам и потенциально коррупциогенные, считают эксперты PIIE. По данным Holland & Knight, такие фонды могут преследовать следующие цели: Целищев уверен, что план Трампа обусловлен и экономическими, и политическими, и стратегическими целями. Экономически это способ привлечь дополнительные инвестиции в США и диверсифицировать источники доходов, говорит он. Как отмечают в PIIE, суверенный фонд может быть полезен там, где «рынок дает сбой»: например, если частный сектор не готов инвестировать (некоторые оборонные производства, транспортная инфраструктура) или социальная значимость проекта выше финансовой доходности. Трамп открыто предположил, что суверенный фонд может быть использован для покупки части TikTok — видеоплатформы, принадлежащей китайской ByteDance (сервису грозит запрет в США из соображений национальной безопасности). «В условиях напряженности в отношениях с КНР фонд может стать инструментом для сохранения или усиления американского контроля над стратегическими активами в сфере технологий», — говорит Целищев. Это будет «такая политически-экономическая экспансия» по образцу азиатских фондов, которые осуществляют экспансию в виде прямых инвестиций, добавляет Донец.  Возможный трансферт из фонда в бюджет может искусственно завышать доходы федерального бюджета США, тогда как крупные проекты могут финансироваться за счет фонда в качестве «забалансовых» расходов (так делают в некоторых странах), снижая расходы бюджета, рассуждает Бондаренко. В этом случае Трамп сможет «с гордостью» отчитаться о сокращении бюджетного дефицита. В то же время, «как показывает опыт, государство редко оказывается самым эффективным инвестором», предупреждает Копейкин. Если финансирование будет осуществляться за счет заимствований или финансовых инструментов с непрозрачным обеспечением, возможен кризис с убытками фонда, говорит Целищев. «В целом выдвинутая инициатива Трампа выглядит противоречиво <...>. Пока целеполагание выглядит смешанно, и опыт создания суверенных фондов при наличии существенного фискального дефицита — модель, у которой нет однозначных примеров», — резюмирует Донец. РБК в Telegram На связи с проверенными новостями Порошенко назвал возможную дату президентских выборов на Украине Bloomberg узнал о плане ЕС нарастить военные расходы и помощь Украине Reuters опубликовал вопросы США к ЕС по урегулированию на Украине Уиткофф объявил о визите в Саудовскую Аравию для переговоров с Россией Финский президент представил свою концепцию урегулирования на Украине Песков пообещал, что Россия не угодит «в сети лживых обещаний» Запада Кремль исключил влияние санкций на переговоры по Украине В ЕС считают, что Трамп заставит Европу заплатить за восстановление Украины РБК запускает винный салон. Расписание Читайте РБК в Telegram! Подборка наших каналов Какие полезные ископаемые Украины могут интересовать США. Инфографика",https://www.rbc.ru/economics/15/02/2025/67aca2ef9a794759d9d79929?from=column_7
Ключевую ставку оставили на прежнем уровне. Что будет с авторынком,,"Получайте рассылку с новостями, которые касаются каждого. Самое актуальное о личных финансах, карьере и безопасности. Читайте РБК без рекламных баннеров на сайте и в мобильном приложении. Банк России оставил ключевую ставку на уровне 21%, следует из заявления,опубликованногона сайте регулятора. Такой результат предсказывали опрошенные РБК аналитики. Редакция Autonews заранее опросила профильных экспертов на предмет того, какие сценарии возможны и как изменение ключевой ставки в большую или меньшую сторону могут сказаться на автокредитовании и на авторынке в целом. Ключевая ставка важна прежде всего с точки зрения кредитования. По словам ведущего эксперта УК «Финам Менеджмент» Дмитрия Баранова, банки будут следить за ключевой ставкой и менять стоимость своих автокредитов в зависимости от нее. Данный процесс не станет молниеносным — он растянется на несколько недель. «В случае изменения ключевой ставки банки постараются сохранить существующие условия для автокредитов, хотя в перспективе стоимость этих банковских продуктов будет увеличиваться не только из-за ее изменения, но и из-за инфляции, мер регулирования автомобильного рынка», — отметил эксперт.  Заместитель генерального директора по продажам новых автомобилей АГ «Авилон» Ренат Тюктеев в беседе с Autonews заявил, что в случае повышения ключевой ставки будет нанесен урон автобизнесу: «Кредиты подорожают еще больше, продажи будут снижаться. Последствия от роста только негативные». Специалист считает, что рост ключевой ставки в ближайшие 2–3 месяца уронит рынок еще сильнее, до пессимистичного сценария в 1,2 млн автомобилей в год. Снижение, напротив, «подпитает кредитные механизмы» и позволит за год реализовать около 1,6 млн новых автомобилей.  Директор по развитию бизнеса ГК «Альфа-Лизинг» Иларион Демчиков считает, что регулятор сохранит ключевую ставку в размере 21% в феврале. «На сегодняшний день причин для ее увеличения или снижения нет, несмотря на сокращение инфляции по итогам недели с 28 января по 3 февраля текущего года до 0,16%. Если же ЦБ примет решение проиндексировать ставку, это негативно отразится на бизнесе, так как денежно-кредитная политика сейчас и так достаточно ужесточена, что уже привело к сокращению объемов лизинга и кредитования», — считает аналитик. Андрей Терлюкевич, генеральный директор ГК АвтоСпецЦентр, считает возможность снижения ставки ЦБ маловероятной. «Даже сохранение ставки на текущем уровне вызовет осторожный оптимизм. Повышение ключевой ставки даст негативный сигнал рынку, который итак находится в трудном положении», — конкретизировал эксперт. По мнению Баранова, вне зависимости от показателя ключевой ставки стоимость автомобилей в 2025 году будет увеличиваться. «Это обусловлено ростом стоимости товаров и услуг, которые используют участники данного рынка в своей деятельности, экономической ситуацией, изменением курсов валют, государственным регулированием», — пояснил он. Специалист отметил, что в течение года возможно снижение цен на транспортные средства, но оно не будет носить массового характера. «Это будет происходить из-за высокой конкуренции на авторынке, необходимости автопроизводителей и дилеров продать отдельные модели. Такие акции будут ограничены по времени, и в них не будут включать те модели автомобилей, которые пользуются наибольшим спросом. Для потребителей такие акции дают возможность приобрести автомобиль по привлекательной цене, если его модель не важна», — резюмировал специалист. Тюктеев считает, что в ближайшие 3–4 месяца цены на автомобили падать не будут, поскольку для этого нет драйверов. А по итогам 2025 года эксперт спрогнозировал падение авторынка примерно на 15% (до 1,3–1,4 млн шт.). Специалист отметил, что курс юаня продолжает оказывать на розничные цены существенное влияние. «Если выстроить линию тренда с 2023 года, он только растет, с 9 до 13 руб. Снижение цен может происходить при условии стабилизации курса юаня хотя бы на квартал, на границе 11 руб. и ниже», — уточнил специалист.  Демчиков отметил, что при действующей ключевой ставке количество выданных кредитов и лизинговых сделок останется низким. В частности, по итогам января текущего года одобрено почти на 50% меньше потребительских кредитов по сравнению с аналогичным месяцем прошлого года, лизинга — на 45%. Это точно не способствует росту продаж автомобилей. Специалист считает, что снижение ключевой ставки маловероятно, поскольку, несмотря на укрепление рубля, «одна из целей ее повышения пока не достигнута — рост цен на продовольственные товары продолжается». В целом в 2025 году, по мнению Баранова, спрос на автомобили в России сохранится, поскольку совершать многочисленные поездки по стране гражданам удобно на машине. Сохранится и автокредитование, однако его условия в течение года будут меняться. «Для граждан эта услуга останется одним из наиболее востребованных способов приобрести автомобиль», — считает эксперт. Андрей Терлюкевич пока не видит предпосылок для снижения цен на машины, но их рост, по мнению специалиста, на фоне укрепления рубля не выглядит логичным: «Я думаю, в ближайшее время ситуация с ценами и спросом будет находиться в подвешенном состоянии, в ожидании дальнейшего развития событий, которые мы все наблюдаем». Возможность восстановления рынка аналитик связал с возможностью смягчения денежно-кредитной политики ЦБ и стабилизацией курса рубля, в том числе на фоне положительных изменений во внешнеполитической ситуации. Только в этом случае рынок начнет быстро восстанавливаться. «Длительное сохранение текущей ставки наоборот может привести к охлаждению спроса. Если ставку поднимут, то это станет сильным ударом для отрасли. Мы увидим закрытие дилерских центров», — считает Терлюкевич.  Читайте также:",https://www.autodaily.ru/news/67aefcba9a79473a6b2eeb77?from=column_8
